address,bank_name,schedule,geo_lat,geo_lon
"Московская область, г. Люберцы, просп. Октябрьский, 123",Банк ВТБ,Доступен в режиме работы места установки,55.687794,37.87759
"Московская область, г. Люберцы, ул. 8 Марта, 61",Райффайзенбанк,Доступен в режиме работы места установки,55.705387,37.893131
"Московская область, г. Люберцы, ул. 3-е Почтовое Отделение, 65",Банк ВТБ,Доступен в режиме работы места установки,55.682887,37.8656059
"Московская область, г. Люберцы, просп. Октябрьский, д. 112",Абсолют Банк,Доступен в режиме работы места установки,55.6858758,37.8764693
"Московская область, г. Люберцы, просп. Комсомольский, 17",Авангард,Доступен в режиме работы места установки,55.6944611,37.9078343
"Московская область, г. Люберцы, ул. Льва Толстого, 17",Альфа-Банк,Доступен в режиме работы места установки,55.7012394,37.8970178
"Московская область, г. Люберцы, шоссе Новорязанское, д. 3",Альфа-Банк,Доступен в режиме работы места установки,55.674848,37.8608439
г. Железнодорожный ул. Автозаводская 36,Альфа-Банк,9:00 - 20:00,55.727577,38.011933
"Московская область, Железнодорожный, Советская улица, 60",Газпромбанк,07:00 - 23:00,55.7499711,38.0461665
Московская обл. Железнодорожный Привокзальная пл. 2,Банк Уралсиб,00:00 - 00:00,55.7519643,38.0089289
"Московская область, Железнодорожный, Пролетарская улица, 2к2",Банк «Открытие»,09.00 - 22.00,55.750282,38.00683
"Московская область, Железнодорожный, Пролетарская улица, 7",Банк ВТБ,00:00 - 00:00,55.744674,38.0089626
"Московская область, Железнодорожный, Центральная улица, 41к1",Банк ВТБ,09.00 - 21.00,55.7503974,37.9574165
"Московская область, Железнодорожный, Пролетарская улица, 1/2",Банк ВТБ,08.00 - 24.00,55.749719,38.009597
"Московская область, Железнодорожный, Саввинское шоссе, 4к1",Банк ВТБ,00:00 - 00:00,55.7436668,38.0124299
"Московская область, Железнодорожный, Автозаводская улица, 52",Банк ВТБ,00:00 - 00:00,55.7284717,38.0145972
"Московская область, Железнодорожный, Леоновское шоссе, 2",Газпромбанк,00:00 - 00:00,55.7646627,37.9622521
"Московская область, Железнодорожный, Пролетарская улица, 2/2",Газпромбанк,9:00 - 22:00,55.750282,38.00683
г. Железнодорожный ул. Пролетарская 7,Газпромбанк,9:00 - 20:30,55.744674,38.0089626
"Московская обл., г.Одинцово, ул.Молодежная, д.48",Газпромбанк,Круглосуточно,55.6779118,37.2725952
"Московская обл., г.Одинцово, ш.Можайское, д.159",Кредит Европа Банк,Круглосуточно,55.6866927,37.3057314
"Московская обл., г.Одинцово, ш.Можайское, д.159",Почта Банк,Круглосуточно,55.6866927,37.3057314
"Московская область, г. Одинцово, ул. Чистяковой, д. 1",Московский Кредитный Банк,пн.-вс.: 09:00-20:00,55.6953928,37.3333165
"Московская область, г. Одинцово, Советская ул., 9",Московский Кредитный Банк,пн.-вс.: 10:00-21:00,55.6735232,37.2769671
"Московская область, г. Одинцово, Триумфальная ул., 1А",Московский Кредитный Банк,пн.-вс.: 09:00-22:00,55.657906,37.232716
"Московская область, г. Одинцово, Можайское шоссе , 76А",Московский Кредитный Банк,Круглосуточно,55.682691,37.295005
"г. Одинцово, ул.Маршала Неделина, д.2",Московский Кредитный Банк,Круглосуточно,55.6798575,37.2690012
"Московская обл., г.Одинцово, ш.Минское, 25-й км",Московский Кредитный Банк,Круглосуточно,55.6789455,37.263686
"г. Одинцово, ш.Можайское, д.112а",Московский Кредитный Банк,Круглосуточно,55.6851794,37.3028367
"г. Одинцово, ш.Можайское, д.112а",Банк «Открытие»,Круглосуточно,55.6851794,37.3028367
"г. Одинцово, ул.Советская, д.9",Московский Кредитный Банк,Круглосуточно,55.6735232,37.2769671
"г. Одинцово, ш.Красногорское, д.15",Московский Кредитный Банк,Круглосуточно,55.6834852,37.2695105
"г. Одинцово, ш.Красногорское, д.15",Банк Уралсиб,Круглосуточно,55.6834852,37.2695105
"г. Одинцово, ул.Молодежная, д.46",Московский Кредитный Банк,Доступен в режиме работы места установки,55.6772475,37.2710511
"г. Одинцово, ул.Молодежная, д.46",Альфа-Банк,Круглосуточно,55.6772475,37.2710511
"г. Одинцово, ул.Комсомольская, д.1",Московский Кредитный Банк,Доступен в режиме работы места установки,55.667263,37.2829305
"г. Одинцово, ул.Маковского, д.2а",Московский Кредитный Банк,Круглосуточно,55.670732,37.280956
"г. Одинцово, ул.Маковского, д.2а",Банк Уралсиб,Круглосуточно,55.670732,37.280956
"г. Одинцово, ул.Свободы, д.1",Московский Кредитный Банк,Круглосуточно,55.672702,37.279968
"г. Одинцово, ул.Свободы, д.1",Банк ВТБ,Круглосуточно,55.672702,37.279968
"г. Одинцово, ш.Можайское, д.81",Московский Кредитный Банк,Круглосуточно,55.6790692,37.2835173
"г. Одинцово, ул.Неделина, д.8",Московский Кредитный Банк,Круглосуточно,55.6792271,37.2669541
"г. Одинцово, ш.Можайское, д.153а",Московский Кредитный Банк,Круглосуточно,55.6861469,37.3031419
"г. Одинцово, Транспортный пр-д, д.5",Московский Кредитный Банк,Доступен в режиме работы места установки,55.6655296,37.2782616
"Московская обл., г.Одинцово, трасса М1 «Беларусь», 6,9 км, стр. 1",Московский Кредитный Банк,Круглосуточно,55.6789455,37.263686
"г. Одинцово, ул.Озерная, д.115",Московский Кредитный Банк,Круглосуточно,55.6500845,37.2560409
"г. Одинцово, пл.Привокзальная, д.1а",Московский Кредитный Банк,Круглосуточно,55.6710175,37.2772745
